Wall time,Step,Value
1654483728.842665,1000,50.0
1654483843.778773,2000,50.0
1654483946.316689,3000,50.0
1654484043.530723,4000,50.0
1654484140.965385,5000,50.0
1654484174.792938,6000,13.5
1654484215.434871,7000,12.5
1654484262.92479,8000,17.700000762939453
1654484301.155288,9000,10.800000190734863
1654484340.5758028,10000,12.5
1654484386.019957,11000,16.399999618530273
1654484433.410387,12000,16.399999618530273
1654484468.0112371,13000,12.300000190734863
1654484510.6156301,14000,18.600000381469727
1654484550.0628989,15000,12.0
1654484590.941101,16000,15.600000381469727
1654484620.007518,17000,14.5
1654484663.492447,18000,13.300000190734863
1654484697.302075,19000,12.699999809265137
1654484780.3209999,20000,40.400001525878906
1654484878.282069,21000,49.5
1654484947.737012,22000,34.29999923706055
1654484983.634507,23000,20.5
1654485057.4187598,24000,34.900001525878906
1654485121.197611,25000,25.200000762939453
1654485167.077968,26000,24.0
1654485239.478732,27000,34.400001525878906
1654485315.674572,28000,38.79999923706055
1654485392.591918,29000,43.900001525878906
1654485471.655514,30000,39.900001525878906
1654485543.242881,31000,39.20000076293945
1654485610.140147,32000,41.0
1654485685.5359628,33000,38.70000076293945
1654485733.998751,34000,26.5
1654485792.731516,35000,31.299999237060547
1654485835.894977,36000,24.299999237060547
1654485915.056688,37000,43.70000076293945
1654485983.490356,38000,28.299999237060547
1654486038.2347572,39000,33.70000076293945
1654486086.361237,40000,17.899999618530273
1654486110.944264,41000,15.600000381469727
1654486167.0292192,42000,13.199999809265137
1654486185.2489622,43000,9.600000381469727
1654486204.386704,44000,11.100000381469727
1654486288.6249611,45000,40.099998474121094
1654486367.804118,46000,43.5
1654486445.070705,47000,35.5
1654486492.443584,48000,31.200000762939453
1654486571.213055,49000,43.400001525878906
1654486639.977064,50000,37.79999923706055
1654486696.999949,51000,23.799999237060547
1654486741.926402,52000,26.700000762939453
1654486806.285279,53000,28.700000762939453
1654486890.509666,54000,43.0
1654486919.719768,55000,18.5
1654486992.778097,56000,32.20000076293945
1654487033.581362,57000,25.899999618530273
1654487093.839995,58000,24.5
1654487160.4840882,59000,30.899999618530273
1654487196.405195,60000,27.600000381469727
1654487275.595516,61000,32.5
1654487332.3377438,62000,29.0
1654487402.674888,63000,42.599998474121094
1654487473.800498,64000,41.29999923706055
1654487551.945034,65000,43.0
1654487630.069897,66000,43.20000076293945
1654487713.6852632,67000,50.0
1654487777.521437,68000,36.099998474121094
1654487851.310907,69000,42.0
1654487929.962705,70000,46.599998474121094
1654488011.5977569,71000,48.599998474121094
1654488094.0750458,72000,50.0
1654488169.319658,73000,45.0
1654488243.192607,74000,42.70000076293945
1654488322.9861708,75000,45.70000076293945
1654488412.242548,76000,50.0
1654488490.274574,77000,45.099998474121094
1654488556.8191848,78000,35.400001525878906
1654488641.1735198,79000,48.0
1654488725.171475,80000,50.0
1654488802.421542,81000,46.29999923706055
1654488881.910182,82000,45.0
1654488966.5525079,83000,49.5
1654489051.222474,84000,50.0
1654489133.1119301,85000,50.0
1654489231.137126,86000,50.0
1654489314.357653,87000,50.0
1654489387.588331,88000,41.5
1654489471.5277948,89000,45.599998474121094
1654489556.062767,90000,49.599998474121094
1654489639.648662,91000,38.599998474121094
1654489728.6738582,92000,39.5
1654489810.5101929,93000,46.099998474121094
1654489941.915679,94000,50.0
1654490023.9257002,95000,46.400001525878906
1654490088.617815,96000,43.79999923706055
1654490181.099612,97000,48.900001525878906
1654490263.2482402,98000,46.5
1654490359.6882198,99000,48.400001525878906
1654490493.586876,100000,50.0
