Wall time,Step,Value
1654490156.888408,1000,17.299999237060547
1654490246.6959748,2000,50.0
1654490339.574871,3000,50.0
1654490484.8959749,4000,50.0
1654490599.595198,5000,50.0
1654490733.20028,6000,50.0
1654490855.817854,7000,50.0
1654490961.626231,8000,46.599998474121094
1654491059.7702248,9000,50.0
1654491164.074908,10000,50.0
1654491259.237304,11000,50.0
1654491355.016355,12000,50.0
1654491449.7629921,13000,47.599998474121094
1654491539.380779,14000,47.79999923706055
1654491637.537118,15000,50.0
1654491750.440968,16000,50.0
1654491831.576938,17000,45.70000076293945
1654491909.795659,18000,50.0
1654491991.58911,19000,50.0
1654492075.847262,20000,48.20000076293945
1654492157.635713,21000,50.0
1654492248.279566,22000,50.0
1654492329.91325,23000,42.20000076293945
1654492405.281513,24000,50.0
1654492472.6816158,25000,50.0
1654492553.8002508,26000,50.0
1654492631.381006,27000,50.0
1654492700.2624042,28000,50.0
1654492770.547094,29000,50.0
1654492840.202844,30000,50.0
1654492906.736029,31000,50.0
1654492966.747008,32000,50.0
1654493026.9425762,33000,50.0
1654493090.781213,34000,46.400001525878906
1654493163.541104,35000,48.70000076293945
1654493230.245892,36000,50.0
1654493305.1034172,37000,50.0
1654493371.5413299,38000,50.0
1654493437.756781,39000,49.400001525878906
1654493508.2357152,40000,50.0
1654493554.598529,41000,43.900001525878906
1654493624.078248,42000,50.0
1654493683.885343,43000,42.5
1654493744.3257642,44000,50.0
1654493812.6075132,45000,50.0
1654493879.592222,46000,50.0
1654493946.480302,47000,50.0
1654494013.273746,48000,50.0
1654494071.580411,49000,47.20000076293945
1654494129.3929589,50000,46.400001525878906
1654494195.750422,51000,49.400001525878906
1654494255.2591512,52000,48.29999923706055
1654494323.4080021,53000,50.0
1654494382.670461,54000,47.599998474121094
1654494444.6378,55000,50.0
1654494510.788577,56000,50.0
1654494581.537977,57000,46.900001525878906
1654494641.75156,58000,50.0
1654494701.696924,59000,50.0
1654494763.2237241,60000,50.0
1654494829.163599,61000,46.29999923706055
1654494887.4883158,62000,45.599998474121094
1654494948.124303,63000,50.0
1654495005.506557,64000,45.70000076293945
1654495071.416307,65000,48.400001525878906
1654495131.7395399,66000,50.0
1654495192.873264,67000,50.0
1654495248.4748101,68000,47.0
1654495310.080617,69000,50.0
1654495369.038214,70000,46.5
1654495429.0676951,71000,48.5
1654495484.5629382,72000,50.0
1654495537.0020611,73000,50.0
1654495589.599377,74000,50.0
1654495641.8982568,75000,49.70000076293945
1654495694.357405,76000,50.0
1654495746.92123,77000,50.0
1654495794.173436,78000,42.599998474121094
1654495844.175672,79000,46.599998474121094
1654495895.4008682,80000,48.29999923706055
1654495947.7588952,81000,50.0
1654496000.2919822,82000,50.0
1654496052.677165,83000,50.0
1654496102.1558468,84000,45.70000076293945
1654496154.794462,85000,50.0
1654496207.1803598,86000,50.0
1654496259.6101818,87000,50.0
1654496309.5397959,88000,50.0
1654496358.8765728,89000,45.70000076293945
1654496412.3795788,90000,50.0
1654496466.020533,91000,50.0
1654496519.629364,92000,50.0
1654496573.199467,93000,50.0
1654496626.427955,94000,49.5
1654496675.208204,95000,43.5
1654496725.387337,96000,46.29999923706055
1654496776.553084,97000,48.0
1654496829.055938,98000,50.0
1654496880.303115,99000,48.5
1654496931.408552,100000,47.79999923706055
